[01/04/2026 20:26:25] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T20:57 in ningen
[2026-04-01 20:27:17] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 20:58 ningen
[01/04/2026 20:27:23] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T20:58 in ningen
[01/04/2026 20:28:56] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:28:56] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:29:18] USER: noaaaah_493 | CMD: !premier -event 01:04:2026 21:00 ningen
[01/04/2026 20:29:25] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493declined the invitation at 2026-04-01T21:00 in ningen
[2026-04-01 20:29:45] USER: noaaaah_493 | CMD: !premier -event 01/04/2026 21:00 ningen
[01/04/2026 20:30:55] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:30:55] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:31:04] USER: noaaaah_493 | CMD: !premier -event 01/04/2026 21:02 ningen
[01/04/2026 20:31:07] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T21:02 in ningen
[01/04/2026 20:31:18] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:33:24] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 20:33:27] USER: noaaaah_493 | CMD: !premier -event 01/04/2026 21:04 ningen
[01/04/2026 20:33:39] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.lambda$sendInvitationAndListen$4() >> noaaaah_493accept the invitation at 2026-04-01T21:04 in ningen
[01/04/2026 20:57:18] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:57:18] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:57:38] USER: noaaaah_493 | CMD: !premier -addteam ningen <@892824373701005325>
[01/04/2026 20:57:38] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierAddTeam.run() >> noaaaah_493 | Code : SYNTAXE_INCORRECTE
[01/04/2026 20:58:07] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:58:07] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:58:14] USER: noaaaah_493 | CMD: !premier -addteam ningen <@892824373701005325>
[01/04/2026 20:58:14] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierAddTeam.run() >> noaaaah_493 | Code : SYNTAXE_INCORRECTE
[01/04/2026 20:58:35] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 20:58:35] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 20:58:39] USER: noaaaah_493 | CMD: !premier -addteam ningen <@892824373701005325>
[01/04/2026 21:03:12] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 21:03:12] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.restoreReminders() >> reminders performed
[2026-04-01 21:03:17] USER: noaaaah_493 | CMD: !premier -addteam ningen <@892824373701005325>
[01/04/2026 21:24:17] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[01/04/2026 21:24:17] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierEvent.netoyageRappel() >> Nettoyage automatique : Rappels expirés supprimés.
[2026-04-01 21:24:41] USER: noaaaah_493 | CMD: !premier -addteam ningen grdfgd
[01/04/2026 21:26:33] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 21:26:36] USER: noaaaah_493 | CMD: !premier -addteam ningen grdfgd
[01/04/2026 21:27:21] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 21:27:25] USER: noaaaah_493 | CMD: !premier -addteam ningen grdfgd
[01/04/2026 21:30:25] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.Main.main() >> bot start
[2026-04-01 21:30:27] USER: noaaaah_493 | CMD: !premier -addteam ningen grdfgd
[01/04/2026 21:30:27] | /C:/Users/noahq/IdeaProjects/BotDiscord/build/classes/java/main/bot.discordBot.commands.Premier.CommandPremierAddTeam.run() >> Code : ERREUR_API
